There has been — There has been a misunderstanding between them.,(exp.) Ha habido — Ha habido un malentendido entre ellos.
There has been — There has been a big improvement in your English.,(exp.) Ha habido — Ha habido una gran mejora en tu inglés.
There has been — There has been a delay in the delivery.,(exp.) Ha habido — Ha habido un retraso en la entrega.
There has been — There has been a lot of noise today.,(exp.) Ha habido — Ha habido mucho ruido hoy.
There has been — There has been an accident on the highway.,(exp.) Ha habido — Ha habido un accidente en la autopista.
There have been — There have been many complaints about the service.,(exp.) Ha habido — Ha habido muchas quejas sobre el servicio.
There have been — There have been several meetings this week.,(exp.) Ha habido — Ha habido varias reuniones esta semana.
There have been — There have been some changes to the schedule.,(exp.) Ha habido — Ha habido algunos cambios en el horario.
There have been — There have been many new students this semester.,(exp.) Ha habido — Ha habido muchos nuevos estudiantes este semestre.
There have been — There have been rumors about a promotion.,(exp.) Ha habido — Ha habido rumores sobre una promoción.
How long has — How long has she been living in New York? ,(exp.) ¿Cuánto tiempo ha — ¿Cuánto tiempo ha estado viviendo en Nueva York?
How long has — How long has he been waiting for the bus?,(exp.) ¿Cuánto tiempo ha — ¿Cuánto tiempo ha estado esperando el autobús?
How long has — How long has it been raining?,(exp.) ¿Cuánto tiempo ha — ¿Cuánto tiempo ha estado lloviendo?
How long has — How long has your friend been learning Spanish?,(exp.) ¿Cuánto tiempo ha — ¿Cuánto tiempo ha estado aprendiendo español tu amigo?
How long has — How long has the company been operating?,(exp.) ¿Cuánto tiempo ha — ¿Cuánto tiempo ha estado operando la empresa?
How long have — How long have they been dating?,(exp.) ¿Cuánto tiempo han — ¿Cuánto tiempo han estado saliendo?
How long have — How long have we been working on this project?,(exp.) ¿Cuánto tiempo han — ¿Cuánto tiempo hemos estado trabajando en este proyecto?
How long have — How long have you been practicing yoga?,(exp.) ¿Cuánto tiempo han — ¿Cuánto tiempo has estado practicando yoga?
How long have — How long have the children been watching TV?,(exp.) ¿Cuánto tiempo han — ¿Cuánto tiempo han estado viendo televisión los niños?
How long have — How long have you been feeling this way?,(exp.) ¿Cuánto tiempo han — ¿Cuánto tiempo has estado sintiéndote así?
What have — What have you been doing all day? ,(exp.) ¿Qué has — ¿Qué has estado haciendo todo el día?
Where have — Where have they been traveling recently?,(exp.) ¿Dónde han — ¿Dónde han estado viajando últimamente?
Who has — Who has been using my computer?,(exp.) ¿Quién ha — ¿Quién ha estado usando mi computadora?
Why have — Why have you been avoiding my calls?,(exp.) ¿Por qué has — ¿Por qué has estado evitando mis llamadas?
What has — What has she been cooking in the kitchen?,(exp.) ¿Qué ha — ¿Qué ha estado cocinando ella en la cocina?
How long has — How long has he been working at that company?,(exp.) ¿Cuánto tiempo ha — ¿Cuánto tiempo ha estado trabajando en esa empresa?
How long have — How long have they been playing soccer together?,(exp.) ¿Cuánto tiempo han — ¿Cuánto tiempo han estado jugando fútbol juntos?
How often has — How often has she been visiting her grandparents?,(exp.) ¿Con qué frecuencia ha — ¿Con qué frecuencia ha estado visitando a sus abuelos?
How often have — How often have you been exercising lately?,(exp.) ¿Con qué frecuencia han — ¿Con qué frecuencia has estado haciendo ejercicio últimamente?
How much has — How much has it been costing to fix your car?,(exp.) ¿Cuánto ha — ¿Cuánto ha estado costando reparar tu coche?
How much have — How much have you been spending on groceries?,(exp.) ¿Cuánto han — ¿Cuánto has estado gastando en comida?
How many has — How many has she been teaching this semester?,(exp.) ¿A cuántos ha — ¿A cuántos ha estado enseñando este semestre?
How many have — How many have been working on that task?,(exp.) ¿Cuántos han — ¿Cuántos han estado trabajando en esa tarea?
How has — How has your English been improving?,(exp.) ¿Cómo ha — ¿Cómo ha estado mejorando tu inglés?
How have — How have you been feeling lately?,(exp.) ¿Cómo han — ¿Cómo has estado sintiéndote últimamente?

